Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
ALNINC_GR_8A,5,,,,,,,,,,,,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ALNINC_GR_8B,5,,,,,,,,7,7,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,"100-m,100","100-m,101",100-m
ALNINC_GR_1,5,,,,,,,,7,9,9,11,11,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100-m,"100-m,100","100-m,100","101,100-m",100-m
QUERUB_HF_9,5,,,,,,,,,9,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,,,
AMECAN_SH_4,5,,,,,,,9,9,9,9,9,11,"51,11","51,17","60,19","67,19",69,71,,73,75,77,78,79,79,79,79,79,79,87,89,89,100,100,100,100,100,101,,,,,,,
AMECAN_GR_10B,5,,,,,,,7,7,9,9,9,11,"51,11","51,17","65,19","67,19",69,71,,72,78,78,79,79,79,79,79,79,79,89,,87,89,100,100,100,100,101,,,,,,,
BETALL_WM_8B,5,,,,,,,,7,7,7,9,11,"51,11",11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101
BETPAP_HF_16,5,,,,,,,,,7,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
QUERUB_HF_99,5,,,,,,,,,,,,9,11,9,15,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,101,,,,,
ACEPEN_WM_5,5,,,,,,,7,7,9,9,9,9,11,11,17,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100
ALNINC_SH_6,5,"60-M,","67-M,","69-M,",,,,,7,7,9,9,11,15,15,19,19,,,,,,,75,76,78,78,79,79,79,79,81,"100-m,","81, 100-m","81,100-m","81,100","81,100-m","81,100-m","81,100-m","81,100-m","82,100-m","82,100-m","84,100-m","85,100-m,100","88,100-m,101","101-m,88"
BETALL_SH_9,6,,,,,,,,,,,7,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,
BETPOP_GR_5,6,,,,,,,,,7,7,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101
BETPOP_GR_3,6,,,,,,,,7,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101
